Team Code,Game Code,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal
725,5.11E+13,4,1,1,1,0,0,0,0,0,10,5,215,2,130,1,0,1,3,0,36,28,3,8,1,2,0,1,1,0,6,11,2,1865,6,40,18,8,1,0,2,1,0
66,6.60E+13,0,0,3,3,0,0,0,0,0,21,6,229,4,226,0,0,0,2,1,42,34,8,34,2,12,0,1,5,0,4,11,2,1543,7,69,16,5,4,1,3,1,0
67,6.60E+13,2,2,3,3,0,0,0,0,0,27,8,338,6,371,3,0,0,2,0,47,18,9,42,3,22,0,2,5,0,7,11,2,2057,11,94,20,8,1,1,3,1,2
66,6.60E+13,0,0,1,1,0,0,0,0,0,7,6,266,2,122,0,0,0,3,1,49,30,2,7,2,7,0,0,3,0,5,8,0,1165,5,47,12,4,2,0,0,0,0
96,6.60E+13,3,2,3,3,0,0,0,0,0,27,2,105,6,352,0,0,0,0,0,32,20,7,42,3,25,0,1,4,0,10,12,2,2435,6,32,16,7,4,1,6,1,2
66,6.60E+13,0,0,1,1,1,0,0,0,0,13,5,232,3,183,0,0,0,3,2,44,22,2,4,0,0,0,1,0,0,10,7,0,1669,6,40,10,4,0,0,2,2,0
257,6.60E+13,2,2,6,6,0,0,0,0,0,48,4,152,9,532,0,0,0,1,1,40,22,3,15,0,0,7,1,2,0,9,13,0,1931,8,65,12,5,0,0,4,3,1
66,6.60E+13,0,0,6,6,0,0,1,1,0,44,5,184,7,417,0,1,0,5,3,35,20,2,7,2,7,1,0,6,2,15,8,0,1844,11,91,17,7,3,3,4,3,0
277,6.60E+13,3,2,4,3,1,1,0,0,0,41,5,203,8,487,0,1,0,2,0,53,28,6,19,4,17,2,3,6,0,4,18,3,1756,7,50,14,5,1,1,4,2,2
66,6.60E+13,1,0,4,4,0,0,0,0,1,30,4,173,5,315,1,0,0,1,0,30,30,7,24,3,17,0,0,5,0,16,6,1,2016,11,114,15,7,2,2,6,4,0
366,6.60E+13,3,2,1,1,0,0,0,0,0,13,4,124,5,281,0,0,0,1,1,34,56,6,28,2,20,0,0,3,0,6,8,3,1584,6,44,12,3,1,1,2,0,2
66,6.61E+13,2,2,3,3,0,0,0,0,0,27,5,155,6,354,0,0,0,2,2,42,40,8,48,4,31,1,1,3,0,6,11,4,1856,8,60,18,7,2,0,5,2,2
528,6.61E+13,3,3,3,3,0,0,0,0,0,30,5,201,7,426,0,0,0,2,2,44,44,11,32,1,9,5,1,4,1,5,14,2,1744,9,84,14,4,2,1,5,1,3
66,6.61E+13,2,1,6,6,0,0,0,0,0,45,4,195,8,502,1,0,0,1,0,43,30,8,48,6,38,0,1,2,0,6,15,1,1838,4,40,18,9,2,2,5,4,1
731,6.61E+13,0,0,3,3,0,0,0,0,0,21,6,234,4,253,0,1,0,2,1,46,22,3,7,0,0,0,0,3,0,9,8,2,1762,2,15,17,7,2,1,2,2,0
67,6.70E+13,2,2,2,2,0,0,0,0,0,20,5,176,5,307,2,0,0,1,1,45,28,6,27,2,18,0,0,6,1,10,11,1,1741,6,57,12,6,0,0,3,2,1
77,6.70E+13,2,1,0,0,0,0,0,0,0,3,6,249,2,143,1,0,0,1,0,38,34,4,21,2,15,2,1,2,1,3,17,2,1859,10,85,16,4,2,0,3,0,1
67,6.70E+13,2,1,1,1,0,0,0,0,0,16,6,252,3,195,2,0,0,0,0,50,15,6,28,3,21,0,0,0,0,7,16,2,2142,11,76,20,10,0,0,4,2,1
147,6.70E+13,2,2,1,1,0,0,0,0,0,13,9,345,3,190,1,0,0,0,0,70,37,4,7,1.5,1,3,0,7,0,5,5,3,1458,2,31,11,0,0,0,3,1,2
67,6.70E+13,2,1,4,4,0,0,0,0,0,31,3,78,6,331,0,0,0,3,3,51,30,11,44,4,29,0,2,5,0,9,9,0,1651,7,54,12,3,2,0,5,2,1
392,6.70E+13,1,1,1,1,1,0,0,0,0,16,6,227,4,226,0,0,0,2,1,36,42,1,11,1,11,1,2,2,1,8,15,1,1949,1,10,18,8,1,0,6,2,1
67,6.70E+13,1,0,2,2,0,0,0,0,0,14,8,306,2,117,0,0,1,0,0,42,30,9,25,1,9,1,0,6,0,5,14,1,1556,8,55,15,6,1,1,3,2,0
457,6.70E+13,3,3,1,1,0,0,0,0,0,16,5,219,5,287,0,0,0,0,0,48,24,3,17,2,14,5,0,4,0,5,13,1,2044,7,60,18,9,0,0,2,0,2
67,6.71E+13,1,1,1,1,0,0,0,0,0,10,7,318,3,167,0,0,0,1,0,54,42,3,10,1,8,1,2,1,0,4,6,0,1255,4,20,13,5,0,0,1,0,1
742,6.71E+13,4,3,3,3,0,0,0,0,0,30,4,154,7,438,2,0,0,2,1,20,38,5,20,3,18,6,1,5,0,11,15,0,2345,6,46,16,8,0,0,7,2,3
47,7.10E+13,1,1,4,4,0,0,0,0,0,31,10,430,6,311,0,0,0,0,0,34,54,4,8,1,2,0,1,4,0,6,8,0,1937,7,79,16,4,1,1,2,1,1
